Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
8297,How to Train Your Dragon 2,X360,2014.0,Adventure,Little Orbit,0.06,0.1,0.0,0.01,0.17,,,2.9,7.0,E10+
8298,Cabelas Legendary Adventures,Wii,2008.0,Sports,Activision,0.16,0.0,0.0,0.01,0.17,,,,,T
8299,True Crime: New York City,GC,2005.0,Action,Activision,0.13,0.03,0.0,0.0,0.17,59.0,25.0,8.8,24.0,M
8300,Metal Arms: Glitch in the System,X,2003.0,Shooter,Vivendi Games,0.13,0.04,0.0,0.01,0.17,82.0,35.0,8.7,15.0,T
8301,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015.0,Simulation,Marvelous Entertainment,0.06,0.0,0.11,0.01,0.17,72.0,28.0,6.5,14.0,E10+
8302,The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8303,The Secret World,PC,2012.0,Role-Playing,Funcom,0.07,0.08,0.0,0.02,0.17,74.0,55.0,8.2,1327.0,M
8304,Trauma Team,Wii,2010.0,Simulation,Atlus,0.14,0.0,0.02,0.01,0.17,82.0,29.0,8.8,25.0,T
8305,Ice Age: Dawn of the Dinosaurs,PS2,2009.0,Action,Activision,0.08,0.07,0.0,0.02,0.17,,,,,E10+
8306,ESPN Final Round Golf 2002,GBA,2001.0,Sports,Konami Digital Entertainment,0.12,0.05,0.0,0.0,0.17,70.0,10.0,,,E
8307,Iron Chef America: Supreme Cuisine,Wii,2008.0,Simulation,Destineer,0.16,0.0,0.0,0.01,0.17,42.0,4.0,,,E10+
8308,MDK2 Armageddon,PS2,2001.0,Shooter,Virgin Interactive,0.08,0.07,0.0,0.02,0.17,80.0,19.0,8.3,11.0,T
8309,NHL 2K9,X360,2008.0,Sports,Take-Two Interactive,0.15,0.01,0.0,0.01,0.17,69.0,33.0,6.7,7.0,E10+
8310,Exhibition Volume 02,X,2003.0,Misc,Microsoft Game Studios,0.13,0.04,0.0,0.01,0.17,,,,,
8311,Fight Night Round 2,GC,2005.0,Fighting,Electronic Arts,0.13,0.03,0.0,0.0,0.17,87.0,32.0,7.9,7.0,T
8312,Jewel Match,DS,2010.0,Puzzle,PlayV,0.05,0.11,0.0,0.02,0.17,,,,,E
8313,Backbreaker,PS3,2009.0,Sports,NaturalMotion,0.16,0.0,0.0,0.01,0.17,58.0,25.0,7.0,52.0,E
8314,Disney's Atlantis: The Lost Empire,PS,2001.0,Platform,Sony Computer Entertainment,0.1,0.07,0.0,0.01,0.17,73.0,7.0,8.5,6.0,E
8315,The King of Fighters 97,SAT,1998.0,Fighting,SNK,0.0,0.0,0.17,0.0,0.17,,,,,
8316,Power Pro Kun Pocket,G,1999.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,
8317,Tamagotchi no Narikiri Challenge,DS,2010.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8318,Horrid Henry: Missions of Mischief,DS,2010.0,Adventure,SouthPeak Games,0.01,0.14,0.0,0.02,0.17,,,,,E
8319,Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014.0,Action,Nippon Columbia,0.0,0.0,0.17,0.0,0.17,,,,,
8320,Stormrise,PS3,2009.0,Strategy,Sega,0.13,0.02,0.0,0.02,0.17,51.0,28.0,5.3,20.0,M
8321,Lost in Blue 3,DS,2007.0,Adventure,Konami Digital Entertainment,0.09,0.02,0.06,0.01,0.17,59.0,19.0,,,E10+
8322,Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999.0,Strategy,Namco Bandai Games,0.0,0.0,0.16,0.01,0.17,,,,,
8323,Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,1999.0,Adventure,ChunSoft,0.0,0.0,0.16,0.01,0.17,,,,,
8324,MLB 11: The Show,PSP,2011.0,Sports,Sony Computer Entertainment,0.15,0.0,0.0,0.02,0.17,77.0,9.0,6.0,5.0,E
8325,Pictionary,DS,2010.0,Puzzle,THQ,0.09,0.06,0.0,0.02,0.17,,,,,E
8326,X-Men: The Official Game,X360,2006.0,Action,Activision,0.16,0.0,0.0,0.01,0.17,52.0,57.0,6.1,21.0,T
8327,Psi-Ops: The Mindgate Conspiracy,X,2004.0,Shooter,Midway Games,0.13,0.04,0.0,0.01,0.17,84.0,55.0,7.9,18.0,M
8328,Hitman: HD Trilogy,X360,2013.0,Action,Square Enix,0.07,0.08,0.0,0.02,0.17,69.0,14.0,7.2,45.0,M
8329,SWAT: Global Strike Team,X,2003.0,Shooter,Vivendi Games,0.13,0.04,0.0,0.01,0.17,69.0,22.0,6.3,7.0,M
8330,Cabelas Legendary Adventures,PSP,2008.0,Sports,Activision,0.16,0.0,0.0,0.02,0.17,,,,,T
8331,Goblin Commander: Unleash the Horde,PS2,2003.0,Strategy,Jaleco,0.08,0.07,0.0,0.02,0.17,68.0,21.0,8.7,14.0,T
8332,MX World Tour Featuring Jamie Little,PS2,2005.0,Racing,Play It,0.08,0.07,0.0,0.02,0.17,52.0,4.0,,,E
8333,Hello Kitty: Happy Party Pals,GBA,2005.0,Misc,THQ,0.12,0.05,0.0,0.0,0.17,,,,,
8334,Backyard NFL Football 09,PS2,2008.0,Sports,Atari,0.08,0.07,0.0,0.02,0.17,,,,,
8335,World Destruction League: Thunder Tanks,PS2,2000.0,Action,3DO,0.08,0.07,0.0,0.02,0.17,65.0,16.0,5.9,7.0,T
8336,Tom Clancys Ghost Recon: Future Soldier,PC,2012.0,Shooter,Ubisoft,0.05,0.1,0.0,0.02,0.17,71.0,13.0,4.9,368.0,M
8337,Yu-Gi-Oh! Zexal World Duel Carnival,3DS,2013.0,Misc,Konami Digital Entertainment,0.0,0.08,0.08,0.01,0.17,,,,,
8338,Backyard Baseball 10,PS2,2009.0,Sports,Atari,0.08,0.07,0.0,0.02,0.17,,,,,E
8339,Resident Evil Directors Cut: Dual Shock Edition,PS,1997.0,Action,Capcom,0.0,0.0,0.16,0.01,0.17,,,,,
8340,Squeeballs Party,DS,2009.0,Puzzle,Performance Designed Products,0.16,0.0,0.0,0.01,0.17,,,,,E10+
8341,Lets TAP,Wii,2008.0,Misc,Sega,0.08,0.06,0.01,0.02,0.17,70.0,47.0,6.6,11.0,E
8342,Broken Sword: Shadows of the Templars - The Directors Cut,DS,2009.0,Adventure,Ubisoft,0.07,0.08,0.0,0.02,0.17,,,,,
8343,The King of Fighters 95,PS,1996.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.16,0.01,0.17,,,,,
8344,RoadKill,PS2,2003.0,Action,Midway Games,0.08,0.07,0.0,0.02,0.17,71.0,27.0,7.9,11.0,M
8345,Mobile Suit Gundam: Extreme VS Force,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,57.0,25.0,7.3,15.0,E10+
8346,Hanjuku Eiyuu Tai 3D,PS2,2003.0,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17,,,,,
8347,Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2010.0,Action,THQ,0.12,0.03,0.0,0.02,0.17,54.0,6.0,,,E10+
8348,.hack//G.U. Vol.3//Redemption,PS2,2007.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8349,The Chronicles of Narnia: Prince Caspian,PS3,2008.0,Action,Disney Interactive Studios,0.14,0.01,0.0,0.02,0.17,56.0,16.0,5.6,8.0,T
8350,Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000.0,Strategy,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8351,Looney Tunes: Back in Action,GC,2003.0,Platform,Warner Bros. Interactive Entertainment,0.13,0.03,0.0,0.0,0.17,64.0,6.0,5.0,4.0,E
8352,SingStar Motown,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,0.15,0.0,0.02,0.17,,,,,
8353,Tak: The Great Juju Challenge,GBA,2005.0,Platform,THQ,0.12,0.05,0.0,0.0,0.17,52.0,6.0,,,E
8354,Macross Ultimate Frontier,PSP,2009.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8355,Professor Heinz Wolffs Gravity,Wii,2008.0,Puzzle,Deep Silver,0.04,0.12,0.0,0.02,0.17,63.0,12.0,7.7,7.0,E
8356,Age of Empires III: Complete Collection,PC,2009.0,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.17,,,8.5,41.0,T
8357,Top Spin 2,X360,2006.0,Sports,Take-Two Interactive,0.15,0.0,0.0,0.01,0.17,75.0,52.0,6.8,25.0,E
8358,Captain America: Super Soldier,X360,2011.0,Action,Sega,0.11,0.05,0.0,0.01,0.17,60.0,48.0,6.3,37.0,T
8359,Danganronpa 2: Goodbye Despair,PSV,2014.0,Misc,Nippon Ichi Software,0.08,0.05,0.0,0.04,0.17,81.0,50.0,8.7,145.0,M
8360,Hunter: The Reckoning Redeemer,X,2003.0,Action,Interplay,0.13,0.04,0.0,0.01,0.17,72.0,26.0,8.6,5.0,M
8361,Monkey Island: Special Edition Collection,PC,2011.0,Adventure,LucasArts,0.0,0.14,0.0,0.03,0.17,,,,,
8362,Tokyo Xtreme Racer,DC,1999.0,Racing,Genki,0.0,0.0,0.17,0.0,0.17,,,,,
8363,Fighter Maker,PS,1998.0,Fighting,Agetec,0.05,0.04,0.07,0.01,0.17,,,,,
8364,Thief: Deadly Shadows,X,2004.0,Action,Eidos Interactive,0.13,0.04,0.0,0.01,0.17,82.0,61.0,7.3,12.0,M
8365,MotoGP 10/11,PS3,2011.0,Racing,Capcom,0.04,0.1,0.0,0.03,0.17,68.0,32.0,6.1,24.0,E
8366,NBA 09: The Inside,PSP,2008.0,Sports,Sony Computer Entertainment,0.16,0.0,0.0,0.01,0.17,79.0,9.0,7.4,7.0,E
8367,Mercury Meltdown Revolution,Wii,2007.0,Action,Ignition Entertainment,0.16,0.0,0.0,0.01,0.17,77.0,41.0,7.4,16.0,E
8368,Batman Begins,GBA,2005.0,Action,Electronic Arts,0.12,0.05,0.0,0.0,0.17,61.0,5.0,6.9,9.0,E10+
8369,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009.0,Action,Take-Two Interactive,0.16,0.0,0.0,0.01,0.17,,,,,
8370,Glover,PS,1999.0,Platform,Atari,0.09,0.06,0.0,0.01,0.17,,,,,
8371,Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Namco Bandai Games,0.12,0.05,0.0,0.0,0.17,,,,,
8372,Country Dance: All Stars,X360,2012.0,Action,GameMill Entertainment,0.16,0.0,0.0,0.01,0.17,,,5.2,5.0,E10+
8373,James Cameron's Dark Angel,PS2,2002.0,Action,Universal Interactive,0.08,0.07,0.0,0.02,0.17,48.0,17.0,6.5,19.0,T
8374,Mahjong Fight Clu,PSP,2004.0,Misc,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,
8375,The Lord of the Rings: Aragorns Quest,PS3,2010.0,Action,Warner Bros. Interactive Entertainment,0.1,0.04,0.0,0.02,0.17,58.0,12.0,6.0,8.0,T
8376,Turok 3: Shadow of Oblivion,N64,2000.0,Shooter,Acclaim Entertainment,0.12,0.05,0.0,0.0,0.17,,,,,
8377,World Driver Championship,N64,1999.0,Racing,Midway Games,0.14,0.03,0.0,0.0,0.17,,,,,
8378,Bomberman 64: The Second Attack!,N64,1999.0,Adventure,Hudson Soft,0.05,0.01,0.11,0.0,0.17,,,,,
8379,Spawn: Armageddon,X,2003.0,Action,Electronic Arts,0.13,0.04,0.0,0.01,0.17,57.0,27.0,9.2,5.0,M
8380,Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Global Star,0.12,0.05,0.0,0.0,0.17,,,,,
8381,Jikkyou Powerful Pro Yakyuu 2013,PSP,2013.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,
8382,Pok\xc3\xa9mon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,0.12,0.05,0.0,0.0,0.17,,,,,
8383,Major League Baseball 2K9,PS2,2009.0,Sports,Spike,0.08,0.06,0.0,0.02,0.17,,,5.4,5.0,E
8384,Gundam Assault Survive,PSP,2010.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8385,Bee Movie Game,X360,2007.0,Action,Activision,0.16,0.0,0.0,0.01,0.17,71.0,25.0,5.8,13.0,E
8386,Luxor 3,Wii,2008.0,Puzzle,Mumbo Jumbo,0.16,0.0,0.0,0.01,0.17,,,,,E
8387,Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008.0,Misc,Disney Interactive Studios,0.08,0.06,0.0,0.02,0.17,,,,,
8388,Fate/Stay Night [R\xc3\xa9alta Nua],PS2,2007.0,Adventure,Kadokawa Shoten,0.0,0.0,0.17,0.0,0.17,,,,,
8389,The Rise of the Argonauts,X360,2008.0,Role-Playing,Codemasters,0.03,0.12,0.0,0.01,0.17,,,,,
8390,Disney's Home on the Range,GBA,2004.0,Action,Disney Interactive Studios,0.12,0.04,0.0,0.0,0.17,65.0,4.0,,,E
8391,Space Griffon VF-9,PS,1995.0,Role-Playing,Panther Software,0.02,0.02,0.12,0.01,0.17,,,,,
8392,One Piece: Pirate Warriors 3,PSV,2015.0,Action,Namco Bandai Games,0.0,0.03,0.13,0.01,0.17,76.0,4.0,6.3,17.0,T
8393,Transformers: Dark of the Moon,Wii,2011.0,Action,Activision,0.09,0.06,0.0,0.02,0.17,,,,,
8394,Lego Star Wars: The Force Awakens,X360,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.08,0.0,0.01,0.17,,,6.9,7.0,E10+
8395,.hack//G.U. Vol.1//Rebirth,PS2,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8396,Michael Jackson: The Experience 3D,3DS,2011.0,Misc,Ubisoft,0.13,0.03,0.0,0.01,0.17,,,,,
8397,Star Wars: Battlefront II,PC,2005.0,Shooter,LucasArts,0.02,0.13,0.0,0.02,0.17,78.0,23.0,8.8,435.0,T
8398,FaceBreaker,PS3,2008.0,Fighting,Electronic Arts,0.13,0.02,0.0,0.02,0.17,53.0,37.0,3.8,20.0,T
8399,Gyakuten Saiban 3,GBA,2004.0,Adventure,Capcom,0.0,0.0,0.16,0.0,0.17,,,,,
8400,Gallop Racer 2001,PS2,2001.0,Sports,Tecmo Koei,0.05,0.04,0.06,0.01,0.17,71.0,11.0,9.1,56.0,E
8401,MotoGP 09/10,X360,2010.0,Racing,Capcom,0.07,0.09,0.0,0.02,0.17,69.0,41.0,5.7,41.0,E
8402,Nightmare Creatures II,PS,2000.0,Action,Konami Digital Entertainment,0.09,0.06,0.0,0.01,0.17,,,,,
8403,Ashes Cricket 2009,PS3,2009.0,Sports,Codemasters,0.0,0.15,0.0,0.01,0.17,,,,,
8404,Bratz Kidz,Wii,2008.0,Misc,Game Factory,0.16,0.0,0.0,0.01,0.17,,,,,E
8405,N3 II: Ninety-Nine Nights,X360,2010.0,Action,Microsoft Game Studios,0.06,0.06,0.04,0.01,0.17,,,,,
8406,Catwoman,PS2,2004.0,Action,Electronic Arts,0.08,0.06,0.0,0.02,0.17,46.0,35.0,6.9,13.0,T
8407,Garfield: Lasagna World Tour,PS2,2007.0,Action,Blast! Entertainment Ltd,0.08,0.06,0.0,0.02,0.17,,,,,E
8408,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Activision,0.12,0.04,0.0,0.0,0.17,,,,,
8409,Bomberman B-Daman,SNES,1996.0,Shooter,Hudson Soft,0.0,0.0,0.17,0.0,0.17,,,,,
8410,Monsters vs. Aliens,X360,2009.0,Action,Activision,0.12,0.03,0.0,0.01,0.17,63.0,31.0,6.6,7.0,E10+
8411,Terminator 3: The Redemption,PS2,2004.0,Shooter,Atari,0.08,0.06,0.0,0.02,0.17,68.0,29.0,8.0,11.0,T
8412,World Destruction League: Thunder Tanks,PS,2000.0,Action,3DO,0.09,0.06,0.0,0.01,0.17,35.0,4.0,1.2,6.0,T
8413,Beat Down: Fists of Vengeance,PS2,2005.0,Action,Capcom,0.04,0.03,0.09,0.01,0.17,48.0,33.0,8.1,12.0,M
8414,Reloaded,PS,1996.0,Action,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.17,,,,,
8415,Robinson: The Journey,PS4,2016.0,Action,Crytek,0.08,0.06,0.0,0.03,0.17,65.0,44.0,6.9,64.0,
8416,Sword of the Samurai,PS2,2003.0,Fighting,Ubisoft,0.0,0.0,0.17,0.0,0.17,,,,,
8417,LEGO Marvel Super Heroes,PC,2013.0,Action,Warner Bros. Interactive Entertainment,0.04,0.12,0.0,0.01,0.17,78.0,7.0,8.1,124.0,E10+
8418,SSX On Tour,GC,2005.0,Sports,Electronic Arts,0.13,0.03,0.0,0.0,0.17,80.0,27.0,7.5,14.0,E
8419,Fairytale Fights,X360,2009.0,Action,Playlogic Game Factory,0.14,0.02,0.0,0.01,0.17,51.0,47.0,6.2,12.0,M
8420,Hot Wheels: Beat That!,X360,2007.0,Racing,Activision,0.15,0.0,0.0,0.01,0.17,,,,,
8421,James Bond 007: Everything or Nothing,GBA,2003.0,Shooter,Electronic Arts,0.12,0.04,0.0,0.0,0.17,73.0,17.0,8.3,11.0,T
8422,Naruto Shippuden: Ultimate Ninja 5,PS2,2007.0,Fighting,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,,,
8423,Total War: WARHAMMER,PC,2016.0,Strategy,Sega,0.0,0.16,0.0,0.01,0.17,86.0,77.0,7.3,567.0,T
8424,Shrek Extra Large,GC,2002.0,Platform,TDK Mediactive,0.13,0.03,0.0,0.0,0.17,36.0,6.0,5.6,23.0,T
8425,Final Fantasy V,PS,1998.0,Role-Playing,SquareSoft,0.0,0.0,0.16,0.01,0.17,,,,,
8426,World Tour Soccer 2006,PS2,2004.0,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.17,56.0,20.0,6.0,7.0,E
8427,Camp Rock: The Final Jam,DS,2010.0,Misc,Disney Interactive Studios,0.14,0.02,0.0,0.01,0.17,,,,,
8428,Gunvalkyrie,X,2002.0,Shooter,Infogrames,0.13,0.04,0.0,0.01,0.17,73.0,28.0,7.3,10.0,T
8429,NickToons: Racing,PS,2001.0,Racing,Hasbro Interactive,0.09,0.06,0.0,0.01,0.17,,,,,
8430,Jillian Michaels Fitness Ultimatum 2011,Wii,2010.0,Sports,D3Publisher,0.16,0.0,0.0,0.01,0.17,,,,,E
8431,VR Golf 97,PS,1996.0,Sports,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.17,,,,,
8432,State of Emergency,X,2003.0,Action,Take-Two Interactive,0.13,0.04,0.0,0.01,0.17,67.0,21.0,6.3,11.0,M
8433,Demon Gaze,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.04,0.02,0.08,0.02,0.17,70.0,38.0,7.4,129.0,T
8434,Just Dance 2017,XOne,2016.0,Misc,Ubisoft,0.13,0.02,0.0,0.02,0.17,75.0,5.0,8.0,6.0,E10+
8435,Off-World Interceptor Extreme,PS,1995.0,Racing,Crystal Dynamics,0.09,0.06,0.0,0.01,0.17,,,,,
8436,My French Coach,DS,2007.0,Misc,Ubisoft,0.14,0.01,0.0,0.01,0.17,,,,,E
8437,Fuzion Frenzy 2,X360,2007.0,Misc,Microsoft Game Studios,0.14,0.01,0.0,0.01,0.17,49.0,47.0,5.2,31.0,E10+
8438,Disney Golf,PS2,2002.0,Sports,Electronic Arts,0.07,0.06,0.02,0.02,0.17,72.0,10.0,8.3,7.0,E
8439,The Naked Brothers Band: The Video Game,PS2,2008.0,Misc,THQ,0.08,0.06,0.0,0.02,0.17,,,,,
8440,Clock Tower II: The Struggle Within,PS,1998.0,Adventure,Human Entertainment,0.02,0.01,0.12,0.01,0.17,49.0,5.0,5.7,7.0,M
8441,Batman Beyond: Return of the Joker,PS,2000.0,Action,Ubisoft,0.09,0.06,0.0,0.01,0.17,,,4.3,7.0,
8442,Backyard NFL Football 10,Wii,2009.0,Sports,Atari,0.16,0.0,0.0,0.01,0.17,,,,,
8443,CSI: Fatal Conspiracy,X360,2010.0,Adventure,Ubisoft,0.11,0.04,0.0,0.01,0.17,42.0,9.0,4.8,4.0,M
8444,Mega Man Network Transmission,GC,2003.0,Platform,Capcom,0.13,0.03,0.0,0.0,0.17,65.0,28.0,7.6,13.0,E
8445,Densetsu no Stafi 4,DS,2006.0,Platform,Nintendo,0.0,0.0,0.17,0.0,0.17,,,,,
8446,Fairytale Fights,PS3,2009.0,Action,Playlogic Game Factory,0.11,0.03,0.0,0.02,0.17,53.0,34.0,6.0,22.0,M
8447,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008.0,Role-Playing,Atlus,0.0,0.0,0.17,0.0,0.17,,,,,
8448,Magical Starsign (US sales),DS,2006.0,Role-Playing,Nintendo,0.14,0.02,0.0,0.0,0.17,,,,,
8449,Pursuit Force: Extreme Justice,PSP,2007.0,Action,Sony Computer Entertainment,0.07,0.06,0.0,0.03,0.17,73.0,44.0,7.6,11.0,T
8450,Dragon Quest X,3DS,2014.0,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17,,,,,
8451,Tokimeki Memorial: Private Collection,PS,1996.0,Misc,Konami Digital Entertainment,0.0,0.0,0.16,0.01,0.17,,,,,
8452,G-Force,X360,2009.0,Action,Disney Interactive Studios,0.11,0.05,0.0,0.01,0.17,68.0,33.0,7.0,9.0,E10+
8453,RC Revenge Pro,PS2,2000.0,Racing,Acclaim Entertainment,0.08,0.06,0.0,0.02,0.17,49.0,13.0,7.6,7.0,E
8454,Surfs Up,Wii,2007.0,Sports,Ubisoft,0.15,0.0,0.0,0.01,0.17,64.0,9.0,,,E10+
8455,Buzz! Brain of the UK,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,0.15,0.0,0.01,0.17,,,,,
8456,Time and Eternity,PS3,2012.0,Role-Playing,Nippon Ichi Software,0.06,0.03,0.06,0.02,0.17,42.0,40.0,5.0,78.0,T
8457,Backyard Wrestling: Dont Try This at Home,X,2003.0,Fighting,Eidos Interactive,0.13,0.04,0.0,0.01,0.17,50.0,15.0,5.0,7.0,M
8458,Gauntlet: Dark Legacy,X,2002.0,Action,Midway Games,0.13,0.04,0.0,0.01,0.17,54.0,9.0,8.9,10.0,T
8459,Football Manager 2017,PC,2016.0,Simulation,Sega,0.0,0.16,0.0,0.01,0.17,81.0,43.0,4.3,62.0,E
8460,Far East of Eden II: Manji Maru,PS2,2003.0,Role-Playing,Hudson Soft,0.0,0.0,0.17,0.0,0.17,,,,,
8461,Disney Sing It: Family Hits,PS3,2010.0,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.02,0.17,72.0,4.0,,,E
8462,Lost Kingdoms,GC,2002.0,Role-Playing,Activision,0.1,0.02,0.04,0.0,0.17,72.0,22.0,8.0,15.0,T
8463,Ridge Racer Unbounded,PS3,2012.0,Racing,Namco Bandai Games,0.05,0.09,0.0,0.03,0.17,72.0,20.0,6.0,29.0,T
8464,The Cursed Crusade,PS3,2011.0,Action,DTP Entertainment,0.07,0.06,0.01,0.03,0.17,45.0,17.0,5.0,26.0,M
8465,Brunswick Cosmic Bowling,Wii,2010.0,Sports,GameMill Entertainment,0.16,0.0,0.0,0.01,0.17,,,,,E
8466,NHL 07,PSP,2006.0,Sports,Electronic Arts,0.13,0.02,0.0,0.02,0.17,76.0,7.0,6.6,23.0,E10+
8467,Matchbox Cross Town Heroes,GBA,2002.0,Racing,THQ,0.12,0.04,0.0,0.0,0.17,,,,,
8468,Wolfenstein 3D,GBA,2002.0,Shooter,BAM! Entertainment,0.12,0.04,0.0,0.0,0.17,57.0,9.0,6.0,7.0,M
8469,Nobunaga no Yabou: Tenshoki,SNES,1996.0,Strategy,Tecmo Koei,0.0,0.0,0.17,0.0,0.17,,,,,
8470,Im A Celebrity: Get Me Out of Here!,Wii,2009.0,Misc,Mindscape,0.0,0.16,0.0,0.01,0.17,,,,,
8471,Dementium: The Ward,DS,2007.0,Shooter,SouthPeak Games,0.15,0.01,0.0,0.01,0.17,72.0,48.0,7.9,37.0,M
8472,Sudoku Gridmaster,DS,2006.0,Puzzle,Nintendo,0.13,0.02,0.0,0.01,0.17,62.0,14.0,,,E
8473,Learning to Spell,DS,2010.0,Misc,505 Games,0.16,0.0,0.0,0.01,0.17,,,,,E
8474,TRON: Evolution,DS,2010.0,Action,Disney Interactive Studios,0.11,0.04,0.0,0.01,0.17,58.0,5.0,,,E10+
8475,Jikkyou Powerful Pro Yakyuu 2014,PS3,2014.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,
8476,Green Lantern: Rise of the Manhunters,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,0.09,0.05,0.0,0.02,0.17,61.0,12.0,6.7,17.0,T
8477,Super Power League,SNES,1993.0,Sports,Hudson Soft,0.0,0.0,0.17,0.0,0.17,,,,,
8478,NASCAR 14,X360,2014.0,Racing,Deep Silver,0.15,0.0,0.0,0.02,0.17,65.0,4.0,5.1,14.0,E
8479,Bakugan Battle Brawlers: Defenders of the Core,PS3,2010.0,Action,Activision,0.14,0.01,0.0,0.02,0.17,50.0,7.0,,,E10+
8480,Street Fighter Alpha 2,SNES,1996.0,Fighting,Nintendo,0.0,0.0,0.17,0.0,0.17,,,,,
8481,Naval Assault: The Killing Tide,X360,2010.0,Simulation,505 Games,0.08,0.07,0.0,0.02,0.17,40.0,11.0,4.2,5.0,T
8482,25 to Life,X,2006.0,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17,41.0,20.0,7.2,13.0,M
8483,Madden NFL 17,PS3,2016.0,Sports,Electronic Arts,0.1,0.04,0.0,0.03,0.17,,,0.2,5.0,E
8484,NASCAR 15,X360,2015.0,Sports,Deep Silver,0.15,0.0,0.0,0.02,0.17,,,3.8,6.0,E
8485,We Sing UK Hits,Wii,2011.0,Misc,Nordic Games,0.0,0.15,0.0,0.02,0.17,,,,,T
8486,NCAA Basketball 09,PS3,2008.0,Sports,Electronic Arts,0.15,0.0,0.0,0.01,0.17,68.0,17.0,,,E
8487,Bomberman Land,Wii,2007.0,Misc,Rising Star Games,0.11,0.01,0.03,0.01,0.17,57.0,23.0,8.0,10.0,E
8488,Sega Superstars,PS2,2004.0,Misc,Sega,0.08,0.06,0.0,0.02,0.17,72.0,28.0,7.0,5.0,T
8489,Midway Arcade Treasures,GC,2003.0,Misc,Midway Games,0.13,0.03,0.0,0.0,0.17,72.0,11.0,8.2,5.0,T
8490,Leisure Suit Larry: Magna Cum Laude,X,2004.0,Adventure,Vivendi Games,0.12,0.04,0.0,0.01,0.17,62.0,49.0,6.4,13.0,M
8491,Pac-Man World 3,DS,2005.0,Platform,Namco Bandai Games,0.15,0.0,0.0,0.01,0.17,44.0,8.0,,,E
8492,Mousetrap / Operation / Simon,GBA,2005.0,Misc,DSI Games,0.12,0.04,0.0,0.0,0.17,,,,,
8493,Shawn Johnson Gymnastics,Wii,2010.0,Sports,Zoo Games,0.16,0.0,0.0,0.01,0.17,,,,,E
8494,NBA 09: The Inside,PS2,2008.0,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.17,,,,,E
8495,ZhuZhu Puppies,DS,2011.0,Simulation,Activision,0.12,0.03,0.0,0.01,0.17,,,,,E
8496,Resident Evil,SAT,1997.0,Action,Capcom,0.0,0.0,0.17,0.0,0.17,,,,,
